pid,unit,n,na,min,max,mean,sd,first,last,range,flag
MAP Vacuum,inHg,941,0,1.42,23.72,17.14962805526036,5.323498043939249,20.53,20.83,22.299999999999997,
TPS 1 Volts,V,941,0,0.69,2.39,0.9290648246546227,0.2834705536340113,0.7,0.69,1.7000000000000002,
TPS 2 Volts,V,941,0,2.6,4.31,4.071753453772582,0.28470580076201485,4.3,4.31,1.7099999999999995,
ETC Directional Duty Cycle,%,941,0,-25.37,31.53,-2.301424017003188,13.987435742562075,-14.03,-14.52,56.900000000000006,
Engine Speed,rpm,941,0,546.0,4000.0,1166.1997874601489,472.6510334325349,591.0,597.0,3454.0,
1/1 Short Term ADAP,%,941,0,-12.11,21.09,0.49919234856535594,4.6953600206900745,-1.37,-1.18,33.2,
2/1 Long Term ADAP,%,941,0,0.0,16.41,6.600743889479277,4.988397215464433,8.79,8.79,16.41,
Oil Pressure,psi,941,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
