pid,unit,n,na,min,max,mean,sd,first,last,range,flag
Engine Speed,rpm,78,0,581.0,3246.0,1497.1153846153845,715.8540350566611,657.0,601.0,2665.0,
Injector Pulse Width Cylinder 1,us,78,0,592.0,8400.0,1596.6153846153845,1486.8319204817044,1272.0,1448.0,7808.0,
Injector Pulse Width Cylinder 2,us,78,0,568.0,8696.0,1522.4615384615386,1416.5563488779228,1280.0,1368.0,8128.0,
Injector Pulse Width Cylinder 7,us,78,0,512.0,8616.0,1485.025641025641,1353.2090536691962,1216.0,1384.0,8104.0,
Injector Pulse Width Cylinder 8,us,78,0,552.0,8504.0,1566.051282051282,1399.569273461055,1304.0,1416.0,7952.0,
Mass Airflow,g/s,78,0,3.94,85.2,13.94602564102564,12.86130873626782,5.18,5.16,81.26,
Knock Sensor 1 Volts,V,78,0,0.22,0.96,0.35448717948717945,0.12217733471346366,0.24,0.26,0.74,
Knock Sensor 2 Volts,V,78,0,0.22,0.8,0.3408974358974359,0.12778373053052244,0.22,0.23,0.5800000000000001,
