pid,unit,n,na,min,max,mean,sd,first,last,range,flag
MAP Vacuum,inHg,38,0,8.32,23.36,20.681578947368422,3.328031286476633,20.65,22.54,15.04,
TPS 1 Volts,V,38,0,0.69,1.52,0.7978947368421053,0.150633013344158,0.69,0.75,0.8300000000000001,
TPS 2 Volts,V,38,0,3.56,4.31,4.199736842105263,0.15018386699581662,4.31,4.26,0.7499999999999996,
ETC Directional Duty Cycle,%,38,0,-31.88,24.77,-10.259473684210526,12.238033026371951,-13.18,-13.24,56.65,
Engine Speed,rpm,38,0,574.0,2259.0,1257.3947368421052,565.7207112438026,585.0,868.0,1685.0,
1/1 Short Term ADAP,%,38,0,-11.14,6.44,-2.3236842105263156,4.50888504192884,-2.35,6.44,17.580000000000002,
2/1 Long Term ADAP,%,38,0,5.47,16.41,9.016315789473683,1.8933907499129587,8.79,8.79,10.940000000000001,
Oil Pressure,psi,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
