pid,unit,n,na,min,max,mean,sd,first,last,range,flag
MAP Vacuum,inHg,1455,0,1.65,23.3,15.324934707903779,5.970383098496777,20.3,18.58,21.650000000000002,
TPS 1 Volts,V,1455,0,0.69,2.29,0.9763367697594502,0.2883828294915966,0.71,0.72,1.6,
TPS 2 Volts,V,1455,0,2.71,4.32,4.024969072164948,0.2888321949578272,4.3,4.28,1.6100000000000003,
Engine Speed,rpm,1455,0,573.0,3847.0,1232.3230240549829,515.0632711800465,604.0,583.0,3274.0,
1/1 O2 Sensor Level,,0,1455,,,,,,,,NO-DATA
1/1 Short Term ADAP,%,1455,0,-13.68,12.1,-1.1741030927835052,4.097008245865691,3.9,-0.01,25.78,
2/1 Short Term ADAP,%,1455,0,-11.14,12.88,-0.29109278350515466,4.011355459225372,1.95,-1.96,24.020000000000003,
Intake Air Temp,deg F,1455,0,109.4,138.2,118.01773195876288,8.92101971716985,138.2,116.6,28.799999999999983,
