pid,unit,n,na,min,max,mean,sd,first,last,range,flag
MAP VACUUM,inHgV,62,0,2.065,23.128,18.213870967741936,3.4462847526363665,18.349,18.762,21.063,
TPS VOLTS,V,62,0,0.595,2.105,0.6758064516129032,0.291251738951457,0.6,0.6,1.51,
ENGINE RPM,rpm,62,0,653.0,2631.0,891.6129032258065,399.3019051374661,675.0,653.0,1978.0,
EGR SENSE VOLTS,V,62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
CAT MODELED TEMP DEG,deg F,62,0,838.4,987.8,948.6354838709677,45.382397101754684,838.4,978.8,149.39999999999998,
2/1 SHORT TERM ADAP,%,62,0,-20.245,-3.865,-10.230806451612903,3.1085969754999456,-12.445,-11.08,16.380000000000003,
1/2 PWM O2 HEATER,%,62,0,69.776,99.96,85.50025806451612,7.064111016223607,89.768,79.968,30.183999999999997,
TPS 1 VOLTS,V,62,0,0.68,0.68,0.68,0.0,0.68,0.68,0.0,FLAT
