pid,unit,n,na,min,max,mean,sd,first,last,range,flag
MAP Vacuum,inHg,1884,0,1.18,23.54,15.346369426751593,6.419495236441889,17.99,18.29,22.36,
Engine Speed,rpm,1884,0,574.0,3286.0,1150.6380042462845,395.17849249876514,578.0,594.0,2712.0,
Injector Pulse Width Cylinder 5,us,1884,0,0.0,9976.0,3606.980891719745,2694.4408819459263,2080.0,2056.0,9976.0,
Injector Pulse Width Cylinder 6,us,1884,0,0.0,9968.0,3615.9702760084924,2666.1043375718145,2024.0,2192.0,9968.0,
Injector Pulse Width Cylinder 7,us,1884,0,0.0,9992.0,3590.8492569002124,2669.4232589948956,2072.0,2080.0,9992.0,
Injector Pulse Width Cylinder 8,us,1884,0,0.0,10104.0,3664.1019108280257,2719.3114633349373,2056.0,2168.0,10104.0,
1/1 O2 Goal(0-1),V,1884,0,0.25,0.69,0.5198513800424628,0.10165602878391776,0.61,0.61,0.43999999999999995,
1/1 O2 Volts(0-1),V,1884,0,-0.02,0.92,0.5183811040339703,0.32217378238278804,0.59,0.75,0.9400000000000001,
