frame,MAP Vacuum,Engine Speed,Injector Pulse Width Cylinder 5,Injector Pulse Width Cylinder 6,Injector Pulse Width Cylinder 7,Injector Pulse Width Cylinder 8,1/1 O2 Goal(0-1),1/1 O2 Volts(0-1)
80,14.16,932.0,3816.0,4048.0,4192.0,4224.0,0.41,0.25
81,12.98,1035.0,3928.0,4048.0,3656.0,3680.0,0.47,0.04
82,16.28,1079.0,2760.0,2792.0,2592.0,2616.0,0.53,0.39
83,18.23,986.0,2320.0,2184.0,2440.0,2640.0,0.55,0.78
84,17.94,885.0,3136.0,3024.0,3408.0,3280.0,0.57,0.86
85,16.22,901.0,3104.0,2800.0,2976.0,2664.0,0.55,0.88
86,17.35,912.0,2568.0,2648.0,3064.0,2640.0,0.53,0.86
87,17.05,879.0,2656.0,2520.0,2600.0,2448.0,0.53,0.86
88,17.58,880.0,2296.0,2248.0,2224.0,2152.0,0.53,0.82
89,17.7,821.0,3344.0,3448.0,3400.0,3376.0,0.49,0.73
90,15.46,849.0,3840.0,4016.0,3816.0,4032.0,0.47,0.57
91,14.46,964.0,3520.0,3544.0,3232.0,3544.0,0.47,0.08
92,16.81,997.0,2584.0,2736.0,2568.0,2600.0,0.49,0.1
93,18.05,941.0,2272.0,2264.0,2256.0,2176.0,0.55,0.59
94,18.53,850.0,3064.0,2936.0,3408.0,3128.0,0.57,0.75
95,16.52,820.0,3728.0,3528.0,3768.0,3592.0,0.57,0.84
96,14.69,941.0,3584.0,3656.0,3664.0,3800.0,0.55,0.2
97,14.87,1045.0,3032.0,3032.0,2784.0,2752.0,0.53,0.04
98,17.64,968.0,3192.0,3648.0,3736.0,3496.0,0.57,0.71
99,14.34,992.0,4360.0,4168.0,4408.0,4168.0,0.59,0.82
100,13.04,1123.0,4336.0,4032.0,3560.0,3704.0,0.55,0.08
101,16.99,1093.0,2472.0,2392.0,2296.0,2264.0,0.57,0.84
102,18.88,912.0,2048.0,1928.0,2056.0,1912.0,0.59,0.86
103,18.88,781.0,2096.0,1992.0,2112.0,1992.0,0.57,0.84
104,18.53,735.0,2144.0,2064.0,2152.0,2152.0,0.63,0.82
105,18.41,688.0,2112.0,2120.0,2128.0,2120.0,0.63,0.82
106,18.29,634.0,2144.0,2128.0,2112.0,2128.0,0.63,0.82
107,18.11,616.0,2184.0,2240.0,2216.0,2280.0,0.61,0.82
108,17.64,618.0,2400.0,2464.0,2472.0,2464.0,0.61,0.78
109,16.99,640.0,2576.0,2752.0,2712.0,2784.0,0.61,0.71
110,16.7,676.0,2752.0,2856.0,2776.0,2824.0,0.61,0.71
111,16.93,705.0,2600.0,2760.0,2624.0,2584.0,0.61,0.76
112,17.35,703.0,2448.0,2480.0,2456.0,2440.0,0.61,0.8
113,17.58,694.0,2384.0,2376.0,2400.0,2368.0,0.61,0.78
114,17.64,686.0,2352.0,2368.0,2376.0,2368.0,0.61,0.75
115,17.58,680.0,2392.0,2376.0,2360.0,2328.0,0.61,0.41
116,17.82,674.0,2384.0,2312.0,2368.0,2296.0,0.61,0.12
117,17.88,679.0,2352.0,2312.0,2360.0,2312.0,0.61,0.08
118,17.88,644.0,2776.0,2352.0,3256.0,3224.0,0.63,0.2
119,17.23,676.0,2592.0,2584.0,2632.0,2600.0,0.63,0.8
120,17.05,693.0,2608.0,2696.0,2600.0,2696.0,0.65,0.86
121,17.11,692.0,2568.0,2648.0,2552.0,2632.0,0.63,0.84
122,17.29,689.0,2512.0,2608.0,2488.0,2608.0,0.63,0.78
123,17.4,683.0,2472.0,2536.0,2456.0,2464.0,0.63,0.75
124,17.4,677.0,2832.0,2952.0,2776.0,2888.0,0.55,0.71
125,16.93,690.0,2936.0,2800.0,2784.0,3048.0,0.55,0.69
126,16.4,751.0,2896.0,2976.0,2912.0,2960.0,0.53,0.8
127,16.11,814.0,2952.0,3032.0,3016.0,3056.0,0.53,0.61
128,15.69,867.0,3216.0,3304.0,3488.0,3288.0,0.53,0.08
129,15.28,930.0,3608.0,3480.0,3640.0,3560.0,0.53,0.04
130,15.28,992.0,3720.0,3760.0,3768.0,3744.0,0.55,0.06
131,15.87,1033.0,3312.0,3216.0,3336.0,3080.0,0.57,0.57
132,17.29,1010.0,2688.0,2664.0,2464.0,2664.0,0.59,0.82
133,18.35,912.0,2248.0,2384.0,2240.0,2360.0,0.61,0.84
134,18.41,831.0,2200.0,2208.0,2176.0,2184.0,0.57,0.78
135,18.41,757.0,2168.0,2192.0,2152.0,2184.0,0.55,0.25
136,18.29,681.0,2392.0,2328.0,2520.0,2360.0,0.55,0.84
137,17.76,682.0,2376.0,2520.0,2392.0,2504.0,0.57,0.84
138,17.94,692.0,2280.0,2456.0,2264.0,2416.0,0.55,0.84
139,18.05,674.0,2216.0,2256.0,2224.0,2264.0,0.55,0.82
140,18.11,682.0,2176.0,2224.0,2192.0,2224.0,0.55,0.78
141,18.11,685.0,2128.0,2200.0,2128.0,2176.0,0.53,0.76
142,18.23,678.0,2104.0,2128.0,2112.0,2160.0,0.51,0.73
143,18.23,684.0,2080.0,2152.0,2080.0,2152.0,0.53,0.67
144,18.23,683.0,2088.0,2120.0,2080.0,2112.0,0.53,0.22
145,18.23,676.0,2240.0,2136.0,2232.0,2128.0,0.55,0.1
