frame,Mis-Fire Monitor Status,Mis-Fire Counter-200 REV,Mis-Fire Counter CAT 200 Rev,Cylinder 1 FTP Mis-Fire Counter,Cylinder 2 FTP Mis-Fire Counter,Cylinder 3 FTP Mis-Fire Counter,Cylinder 4 FTP Mis-Fire Counter,Cylinder 5 FTP Mis-Fire Counter,Cylinder 6 FTP Mis-Fire Counter,Cylinder 7 FTP Mis-Fire Counter,Cylinder 8 FTP Mis-Fire Counter
69,,677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,,611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,,554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,,788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,,752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,,638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
