pid,unit,n,na,min,max,mean,sd,first,last,range,flag
TPS 1 Volts,V,1991,0,0.7,1.98,0.9064791562029131,0.280051493870282,0.76,0.71,1.28,
TPS 2 Volts,V,1991,0,3.01,4.3,4.0947965846308385,0.2811888128580725,4.24,4.29,1.29,
Engine Speed,rpm,1991,0,552.0,2844.0,1022.9216474133601,493.0166857464442,590.0,590.0,2292.0,
Purge AirFlow,g/s,1991,0,0.0,0.39,0.14739829231541937,0.15851001859210745,0.1,0.35,0.39,
Injector Pulse Width Cylinder 1,us,1991,0,0.0,10304.0,2873.8362631843297,2449.4713055793804,2136.0,1232.0,10304.0,
Injector Pulse Width Cylinder 2,us,1991,0,0.0,10264.0,2874.724259166248,2440.0878305097644,2184.0,1232.0,10264.0,
1/1 O2 Goal(0-1),V,1991,0,0.37,0.75,0.5285434455047714,0.07026453563739994,0.67,0.51,0.38,
1/1 O2 Volts(0-1),V,1991,0,-0.02,0.92,0.5262029131089905,0.319928807706581,0.76,0.67,0.9400000000000001,
