frame,TPS 1 Volts,TPS 2 Volts,Engine Speed,Purge AirFlow,Injector Pulse Width Cylinder 1,Injector Pulse Width Cylinder 2,1/1 O2 Goal(0-1),1/1 O2 Volts(0-1)
84,1.66,3.34,2234.0,0.0,8208.0,8240.0,0.65,0.61
85,1.66,3.34,2252.0,0.0,8144.0,8672.0,0.65,0.75
86,1.66,3.33,2268.0,0.0,8600.0,8200.0,0.65,0.8
87,1.67,3.33,2273.0,0.0,8576.0,8208.0,0.65,0.22
88,1.67,3.33,2297.0,0.0,8072.0,8568.0,0.65,0.59
89,1.67,3.33,2317.0,0.0,8592.0,8120.0,0.65,0.76
90,1.67,3.33,2339.0,0.0,8496.0,8096.0,0.65,0.73
91,1.67,3.33,2356.0,0.0,8488.0,7992.0,0.67,0.75
92,1.66,3.35,2379.0,0.0,7992.0,8312.0,0.69,0.59
93,1.62,3.38,2397.0,0.0,7704.0,7592.0,0.67,0.73
94,1.58,3.42,2405.0,0.0,7872.0,7376.0,0.67,0.82
95,1.44,3.58,2409.0,0.0,6192.0,5912.0,0.67,0.75
96,1.41,3.57,2393.0,0.0,6296.0,6640.0,0.65,0.25
97,1.46,3.54,2427.0,0.0,7128.0,6600.0,0.67,0.8
98,1.46,3.55,2152.0,0.0,7544.0,7200.0,0.67,0.14
99,1.38,3.63,1777.0,0.0,7160.0,7096.0,0.67,0.82
100,1.36,3.64,1721.0,0.0,6928.0,7112.0,0.65,0.25
101,1.35,3.66,1680.0,0.0,7232.0,6736.0,0.65,0.71
102,1.35,3.65,1649.0,0.0,6944.0,7096.0,0.65,0.59
103,1.35,3.65,1637.0,0.0,7392.0,7208.0,0.63,0.78
104,1.35,3.65,1535.0,0.0,7504.0,7096.0,0.59,0.76
105,1.34,3.66,1482.0,0.0,7200.0,7456.0,0.59,0.16
106,1.35,3.66,1479.0,0.0,7720.0,7168.0,0.63,0.69
107,1.36,3.64,1485.0,0.0,7408.0,7744.0,0.65,0.27
108,1.36,3.64,1499.0,0.0,7752.0,7280.0,0.65,0.84
109,1.36,3.64,1481.0,0.0,7328.0,7312.0,0.63,0.53
110,1.36,3.64,1488.0,0.0,7752.0,7672.0,0.61,0.75
111,1.36,3.65,1496.0,0.0,7608.0,7144.0,0.61,0.2
112,1.17,3.84,1448.0,0.0,5952.0,5640.0,0.61,0.82
113,1.14,3.86,1448.0,0.0,5032.0,5048.0,0.57,0.84
114,1.16,3.84,1447.0,0.0,4928.0,5256.0,0.57,0.2
115,1.17,3.83,1456.0,0.0,5448.0,5160.0,0.59,0.39
116,1.17,3.83,1451.0,0.0,5216.0,5352.0,0.61,0.76
117,1.14,3.86,1454.0,0.0,4904.0,5176.0,0.57,0.35
118,1.14,3.85,1454.0,0.0,4864.0,4848.0,0.57,0.8
119,1.16,3.84,1458.0,0.0,4888.0,5208.0,0.57,0.1
120,1.17,3.83,1459.0,0.0,5400.0,5192.0,0.59,0.1
121,1.26,3.73,1461.0,0.0,6480.0,6416.0,0.67,0.12
122,1.28,3.71,1465.0,0.0,7336.0,7152.0,0.69,0.8
123,1.3,3.7,1463.0,0.0,7512.0,6912.0,0.71,0.78
124,1.3,3.7,1466.0,0.0,7176.0,7320.0,0.71,0.76
125,1.3,3.69,1470.0,0.0,7576.0,7008.0,0.67,0.75
126,1.31,3.69,1460.0,0.0,7088.0,7240.0,0.63,0.49
127,1.29,3.72,1463.0,0.0,7288.0,6664.0,0.63,0.8
128,1.28,3.72,1469.0,0.0,6752.0,6656.0,0.61,0.59
129,1.23,3.77,1467.0,0.0,6320.0,6512.0,0.61,0.8
130,1.21,3.79,1462.0,0.0,5920.0,5872.0,0.57,0.82
131,1.13,3.87,1454.0,0.0,5504.0,5008.0,0.57,0.76
132,1.12,3.87,1450.0,0.0,4800.0,4968.0,0.53,0.82
133,1.15,3.85,1441.0,0.0,5136.0,4888.0,0.53,0.14
134,1.15,3.85,1426.0,0.0,5296.0,5272.0,0.57,0.73
135,1.15,3.85,1420.0,0.0,5032.0,5360.0,0.57,0.29
136,1.15,3.84,1416.0,0.0,5344.0,5104.0,0.57,0.27
137,1.16,3.83,1449.0,0.0,5184.0,5464.0,0.57,0.73
138,1.18,3.82,1468.0,0.0,5576.0,5304.0,0.59,0.2
139,1.18,3.82,1419.0,0.0,5752.0,5728.0,0.61,0.76
140,1.18,3.81,1430.0,0.0,5512.0,5488.0,0.63,0.18
141,1.19,3.81,1435.0,0.0,5688.0,5952.0,0.67,0.76
142,1.19,3.81,1379.0,0.0,6104.0,5808.0,0.67,0.14
143,1.2,3.79,1407.0,0.0,5976.0,6240.0,0.71,0.82
144,1.22,3.78,1413.0,0.0,6392.0,6000.0,0.73,0.65
145,1.21,3.78,1336.0,0.0,6344.0,6728.0,0.73,0.78
146,1.23,3.76,1327.0,0.0,6912.0,6584.0,0.75,0.69
147,1.25,3.75,1340.0,0.0,6736.0,7096.0,0.75,0.73
148,1.27,3.73,1332.0,0.0,7392.0,6928.0,0.73,0.75
149,1.27,3.73,1314.0,0.0,7240.0,7560.0,0.75,0.78
150,1.15,3.83,1272.0,0.0,5968.0,5832.0,0.73,0.84
151,0.79,4.22,1248.0,0.0,3392.0,3144.0,0.65,0.88
152,0.75,4.25,1232.0,0.0,1744.0,1608.0,0.61,0.86
153,0.74,4.26,1208.0,0.0,1120.0,1144.0,0.61,0.84
154,0.75,4.25,1184.0,0.0,896.0,992.0,0.49,0.82
155,0.75,4.25,1157.0,0.0,800.0,952.0,0.47,0.82
156,0.76,4.25,1137.0,0.0,920.0,896.0,0.47,0.8
157,0.75,4.25,1123.0,0.0,888.0,0.0,0.47,0.24
158,0.89,4.09,1101.0,0.0,1616.0,1960.0,0.47,0.02
159,1.0,4.0,1171.0,0.0,2720.0,2856.0,0.47,0.76
160,0.77,4.23,1144.0,0.0,1704.0,1920.0,0.63,0.86
161,0.74,4.26,1050.0,0.0,1304.0,1440.0,0.57,0.84
162,0.74,4.27,1016.0,0.0,976.0,1208.0,0.57,0.8
163,0.73,4.25,955.0,0.01,1320.0,1776.0,0.57,0.25
164,0.95,4.03,991.0,0.15,3120.0,3160.0,0.57,0.1
165,1.32,3.67,1193.0,0.0,6688.0,7176.0,0.57,0.04
166,1.38,3.62,1448.0,0.0,8520.0,9048.0,0.61,0.73
167,1.44,3.56,1686.0,0.0,8112.0,8648.0,0.61,0.22
168,1.48,3.51,1743.0,0.0,8728.0,8208.0,0.67,0.1
169,1.46,3.54,1724.0,0.0,8336.0,8672.0,0.67,0.78
170,1.48,3.52,1723.0,0.0,8728.0,8184.0,0.67,0.2
171,1.5,3.5,1721.0,0.0,8328.0,8680.0,0.67,0.39
172,1.52,3.48,1726.0,0.0,8488.0,8712.0,0.67,0.75
173,1.59,3.4,1737.0,0.0,9296.0,8648.0,0.67,0.47
174,1.64,3.35,1735.0,0.0,8912.0,9296.0,0.65,0.69
175,1.68,3.32,1767.0,0.0,9560.0,8904.0,0.67,0.76
176,1.7,3.3,1769.0,0.0,9088.0,9016.0,0.67,0.59
177,1.73,3.27,1768.0,0.0,9072.0,9576.0,0.65,0.76
178,1.74,3.25,1777.0,0.0,9592.0,9112.0,0.65,0.76
179,1.77,3.22,1779.0,0.0,9216.0,9040.0,0.65,0.27
180,1.79,3.2,1792.0,0.0,9144.0,9672.0,0.65,0.35
181,1.8,3.19,1804.0,0.0,9216.0,9704.0,0.67,0.75
182,1.84,3.16,1837.0,0.0,9744.0,9048.0,0.67,0.8
183,1.88,3.11,1930.0,0.0,9448.0,9208.0,0.65,0.75
184,1.92,3.08,1977.0,0.0,9864.0,9328.0,0.67,0.78
185,1.93,3.07,1981.0,0.0,9872.0,9352.0,0.61,0.45
186,1.94,3.06,1987.0,0.0,9312.0,9808.0,0.63,0.71
187,1.96,3.03,2013.0,0.0,9352.0,9840.0,0.63,0.75
188,1.97,3.03,2016.0,0.0,9904.0,9352.0,0.65,0.78
189,1.98,3.01,2026.0,0.0,9344.0,9408.0,0.63,0.24
190,1.96,3.08,2036.0,0.0,9168.0,9672.0,0.63,0.75
191,1.82,3.18,2036.0,0.0,9440.0,8992.0,0.63,0.76
192,1.84,3.16,2049.0,0.0,9480.0,9056.0,0.63,0.53
193,1.77,3.26,2033.0,0.0,8760.0,9176.0,0.65,0.76
194,1.52,3.49,1973.0,0.0,8088.0,7864.0,0.63,0.75
195,1.5,3.5,1935.0,0.0,7656.0,8208.0,0.63,0.53
196,1.5,3.51,1956.0,0.0,8024.0,7632.0,0.63,0.78
197,1.47,3.53,1955.0,0.0,7560.0,7688.0,0.61,0.12
198,1.56,3.44,1968.0,0.0,7760.0,8312.0,0.63,0.71
199,1.6,3.42,1977.0,0.0,8224.0,7656.0,0.63,0.8
200,1.29,3.72,1945.0,0.0,5872.0,5824.0,0.61,0.84
