pid,unit,n,na,min,max,mean,sd,first,last,range,flag
MAP Vacuum,inHg,1741,0,0.94,22.89,16.651987363584148,5.455518235784535,18.11,19.82,21.95,
TPS 1 Volts,V,1741,0,0.7,2.12,0.9173118897185525,0.2568849979084433,0.91,0.71,1.4200000000000002,
TPS 2 Volts,V,1741,0,2.87,4.3,4.083342906375647,0.25790761504959636,4.07,4.29,1.4299999999999997,
ETC Directional Duty Cycle,%,1741,0,-34.97,37.44,-2.8842791499138425,13.628938474454111,-0.42,-14.89,72.41,
Engine Speed,rpm,1741,0,566.0,3176.0,1104.327972429638,451.59683094371326,851.0,585.0,2610.0,
Injector Pulse Width Cylinder 7,us,1741,0,0.0,10296.0,2892.884549109707,2275.144049165673,3008.0,1328.0,10296.0,
Injector Pulse Width Cylinder 8,us,1741,0,0.0,10368.0,2935.3566915565766,2285.9664307241665,3064.0,1256.0,10368.0,
1/1 Short Term ADAP,%,1741,0,-14.26,17.57,0.07682940838598505,4.516289624146723,4.29,-1.37,31.83,
