pid,unit,n,na,min,max,mean,sd,first,last,range,flag
MAP Vacuum,inHg,1530,1,1.0,23.25,19.331686274509803,2.0512165765857047,19.94,17.17,22.25,
TPS 1 Volts,V,1531,0,0.56,1.04,0.7942521227955585,0.07249774734940859,0.71,0.8,0.48,
TPS 2 Volts,V,1531,0,3.91,4.44,4.206825604180275,0.07308081135151884,4.29,4.2,0.5300000000000002,
ETC Directional Duty Cycle,%,1531,0,-36.16,26.9,-19.174513389941215,9.053310378687534,-11.29,-10.87,63.059999999999995,
Engine Speed,rpm,1531,0,0.0,1809.0,526.439581972567,290.6871171988487,576.0,678.0,1809.0,
Injector Pulse Width Cylinder 7,us,1531,0,0.0,8520.0,1502.2338340953625,858.6822679476101,1520.0,2432.0,8520.0,
Injector Pulse Width Cylinder 8,us,1531,0,0.0,8024.0,1516.6975832789026,860.3722156325338,1528.0,2504.0,8024.0,
1/1 Short Term ADAP,%,1531,0,-6.26,6.44,-0.9399085564990203,2.381586228451926,-1.76,0.38,12.7,
