pid,unit,n,na,min,max,mean,sd,first,last,range,flag
1/2 O2 Sensor Volts,V,693,0,2.49,3.45,3.1657864357864356,0.23457768504498167,3.3,3.31,0.96,
2/1 O2 Sensor Volts,V,693,0,2.5,3.43,3.0148773448773447,0.32928387594689007,2.62,2.71,0.9300000000000002,
2/2 O2 Sensor Volts,V,693,0,2.48,3.46,3.195021645021645,0.21371085601537296,3.31,3.32,0.98,
1/1 Short Term ADAP,%,693,0,-15.24,16.59,0.053751803751803724,4.459402901247758,-3.52,-4.69,31.83,
2/1 Short Term ADAP,%,693,0,-11.14,16.79,0.7596825396825397,4.29361688218278,-0.01,-2.74,27.93,
1/1 Long Term ADAP,%,693,0,0.0,3.32,0.999177489177489,0.9936141204942912,0.98,1.37,3.32,
2/1 Long Term ADAP,%,693,0,0.0,3.32,1.0742135642135644,1.0020162187963202,1.17,1.37,3.32,
Mass Airflow,g/s,693,0,5.23,150.74,20.95795093795094,24.552435089359623,7.13,5.61,145.51000000000002,
