pid,unit,n,na,min,max,mean,sd,first,last,range,flag
Base Spark,Degree,98,79,-64.0,-64.0,-64.0,0.0,-64.0,-64.0,0.0,FLAT
Spark Advance,EngineDeg,91,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
ESIM Switch,,0,177,,,,,,,,NO-DATA
AC Hi-Side Voltage,V,91,86,1.22,1.24,1.2393406593406593,0.003571005892147678,1.22,1.24,0.020000000000000018,
AC Hi-Side Pressure,kPa,89,88,113.68,113.68,113.68,0.0,113.68,113.68,0.0,FLAT
PCM Odometer,mile,89,88,319774.72,319774.72,319774.72,0.0,319774.72,319774.72,0.0,FLAT
Vehicle Speed,mph,89,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cam Sync State,,0,177,,,,,,,,NO-DATA
Crank Signal Missing,,0,177,,,,,,,,NO-DATA
Crank Sync State,,0,177,,,,,,,,NO-DATA
Crank System Fault and in Limp-Home Mode,,0,177,,,,,,,,NO-DATA
Exhaust Cam 1/Crank Difference,EngineDeg,87,90,-0.9,-0.8,-0.8275862068965517,0.04469476343729558,-0.9,-0.8,0.09999999999999998,
Exhaust Cam 1 Duty Cycle,%DC,87,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Exhaust Cam 1 Desired Position,EngineDeg,71,106,127.8,127.8,127.79999999999998,0.0,127.8,127.8,0.0,FLAT
Exhaust Cam 1 Actual Position,EngineDeg,71,106,127.6,127.7,127.6112676056338,0.031619639888233186,127.7,127.6,0.10000000000000853,FLAT
Brake Switch Filtered Switch State,,0,177,,,,,,,,NO-DATA
Brake Switch 2 Filtered Switch State,,0,177,,,,,,,,NO-DATA
Park Neutral Switch Filtered Switch State,,0,177,,,,,,,,NO-DATA
AC Select Switch Filtered Switch State,,0,177,,,,,,,,NO-DATA
AC Request Switch Filtered Switch State,,0,177,,,,,,,,NO-DATA
AC Clutch  RLY DES State,,0,177,,,,,,,,NO-DATA
Lo Spd Fan Rly Des State,,0,177,,,,,,,,NO-DATA
Hi Spd Fan Des State,,0,177,,,,,,,,NO-DATA
ASD Sense Switch Filtered Switch State,,0,177,,,,,,,,NO-DATA
ASD Relay DES State,,0,177,,,,,,,,NO-DATA
SRV Output State,,0,177,,,,,,,,NO-DATA
SRV PWM Feedback,%,55,122,44.0,44.0,44.0,0.0,44.0,44.0,0.0,FLAT
Fuel Pump  RLY DES State,,0,177,,,,,,,,NO-DATA
Desired Malfunction Lamp,,0,177,,,,,,,,NO-DATA
MDS Has Been Activated,,0,177,,,,,,,,NO-DATA
MDS In V4 State,,0,177,,,,,,,,NO-DATA
MDS Status,,0,177,,,,,,,,NO-DATA
MDS Transition Status,,0,177,,,,,,,,NO-DATA
4 To 8 Transition or Torque Reserve Requested,,0,177,,,,,,,,NO-DATA
MDS Enabling Conditions Have Been Met,,0,177,,,,,,,,NO-DATA
MDS Solenoid/#1(Cyl/#1)Status,,0,177,,,,,,,,NO-DATA
MDS Solenoid/#2(Cyl/#4)Status,,0,177,,,,,,,,NO-DATA
MDS Solenoid/#3(Cyl/#6)Status,,0,177,,,,,,,,NO-DATA
MDS Solenoid/#4(Cyl/#7)Status,,0,177,,,,,,,,NO-DATA
EVP ACTIVATIONS,count,45,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
EVP COOL DOWN TIME,ms,45,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
S/C Set Speed,mph,45,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
S/C Switch Voltage,V,45,132,1.8,1.82,1.8186666666666667,0.004988876515698593,1.8,1.82,0.020000000000000018,
S/C Switch Voltage 2,V,45,132,2.27,2.41,2.385555555555556,0.023051204408693248,2.27,2.39,0.14000000000000012,
Cruise Lamp Status,,0,177,,,,,,,,NO-DATA
S/C Working Status,,0,177,,,,,,,,NO-DATA
S/C Denied Status,,0,177,,,,,,,,NO-DATA
S/C Disenable Reason,,0,177,,,,,,,,NO-DATA
S/C Disengage Reason,,0,177,,,,,,,,NO-DATA
S/C Switch State 1,,0,177,,,,,,,,NO-DATA
S/C Switch State 2,,0,177,,,,,,,,NO-DATA
Limp-in Status,,0,177,,,,,,,,NO-DATA
Turbine Speed,rpm,41,136,634.0,664.0,636.4146341463414,6.9702350093568075,649.0,634.0,30.0,
Output Speed,rpm,41,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Torque Converter Slip,rpm,41,136,11.0,18.0,17.21951219512195,2.042382577117885,11.0,18.0,7.0,
Trans Oil Temperature,deg F,40,137,135.02,135.02,135.02,0.0,135.02,135.02,0.0,FLAT
Calculate Trans Oil Temp,,0,177,,,,,,,,NO-DATA
Trans Temperature Voltage,V,35,142,2.02,2.02,2.02,0.0,2.02,2.02,0.0,FLAT
LR Pressure Switch,,0,177,,,,,,,,NO-DATA
2C Pressure Switch,,0,177,,,,,,,,NO-DATA
4C Pressure Switch,,0,177,,,,,,,,NO-DATA
UD Pressure Switch,,0,177,,,,,,,,NO-DATA
OD Pressure Switch,,0,177,,,,,,,,NO-DATA
Pressure Switch Error Counter,,32,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Tow/Haul/OD Switch,,0,177,,,,,,,,NO-DATA
Autostick Upshift,,0,177,,,,,,,,NO-DATA
Autostick Downshift,,0,177,,,,,,,,NO-DATA
Autostick Position,,0,177,,,,,,,,NO-DATA
PRNDL Display Request,,0,177,,,,,,,,NO-DATA
T41/C1 Switch,,0,177,,,,,,,,NO-DATA
T42/C2 Switch,,0,177,,,,,,,,NO-DATA
T3/C3 Switch,,0,177,,,,,,,,NO-DATA
T1/C4 Switch,,0,177,,,,,,,,NO-DATA
Line Pressure Sensor,V,30,147,0.98,1.0,0.9806666666666666,0.003590109871423006,1.0,0.98,0.020000000000000018,
T2/C5 Switch,,0,177,,,,,,,,NO-DATA
Actual Line Pressure 1,psi,30,147,50.0,50.0,50.0,0.0,50.0,50.0,0.0,FLAT
Desired Line Pressure,psi,30,147,50.0,50.0,50.0,0.0,50.0,50.0,0.0,FLAT
Line Pressure Duty-Cycle(RFE),%,28,149,28.24,28.24,28.24,0.0,28.24,28.24,0.0,FLAT
2C Clutch Fill Volume Index,,28,149,34.0,34.0,34.0,0.0,34.0,34.0,0.0,FLAT
LR Clutch Fill Volume Index,,28,149,79.0,79.0,79.0,0.0,79.0,79.0,0.0,FLAT
Alternate 2C Clutch Fill Volume Index,,28,149,52.0,52.0,52.0,0.0,52.0,52.0,0.0,FLAT
4C Clutch Fill Volume Index,,27,150,39.0,39.0,39.0,0.0,39.0,39.0,0.0,FLAT
UD Clutch Fill Volume Index,,27,150,35.0,35.0,35.0,0.0,35.0,35.0,0.0,FLAT
1st N-D UD Clutch Fill Volume Index,,27,150,82.0,82.0,82.0,0.0,82.0,82.0,0.0,FLAT
Norm N-D UD Clutch Fill Volume Index,,27,150,53.0,53.0,53.0,0.0,53.0,53.0,0.0,FLAT
OD Clutch Fill Volume Index,,27,150,59.0,59.0,59.0,0.0,59.0,59.0,0.0,FLAT
1st 2-3 OD Clutch Fill Volume Index,,0,177,,,,,,,,NO-DATA
Present Gear,,0,177,,,,,,,,NO-DATA
Present Gear TCC State,,0,177,,,,,,,,NO-DATA
Target Gear,,0,177,,,,,,,,NO-DATA
Target Gear TCC State,,0,177,,,,,,,,NO-DATA
PRNDL Code(RFE),,0,177,,,,,,,,NO-DATA
LR Clutch,,0,177,,,,,,,,NO-DATA
2C Clutch,,0,177,,,,,,,,NO-DATA
OD Clutch,,0,177,,,,,,,,NO-DATA
4C Clutch,,0,177,,,,,,,,NO-DATA
UD Clutch,,0,177,,,,,,,,NO-DATA
Current/Last Shift Performed,,0,177,,,,,,,,NO-DATA
Fuel Tank Pressure,Pa,25,152,-2.37,-2.37,-2.37,0.0,-2.37,-2.37,0.0,FLAT
CNG Rail Temperature,deg C,25,152,-83.2,-83.2,-83.2,0.0,-83.2,-83.2,0.0,FLAT
CNG Tank Pressure,MPa,25,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
CNG Tank Level Percent,%,25,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
CNG Fuel Volume Used,gal,25,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
CNG Tank Pressure Volts,V,0,177,,,,,,,,NO-DATA
Gasoline/CNG Switch State,,0,177,,,,,,,,NO-DATA
CNG Transition in Progress,,0,177,,,,,,,,NO-DATA
Variable Speed Fuel Pump Volts,V,24,153,2.8,2.82,2.8179166666666666,0.0057584479004521814,2.8,2.82,0.020000000000000018,
Variable Speed Fuel Pump Actual Rail Pressure,kPa,24,153,57.79,58.03,57.805,0.05267826876426383,57.91,57.79,0.240000000000002,FLAT
Variable Speed Fuel Pump Duty Cycle,%DC,24,153,67.85,67.93,67.89875,0.012011279421168513,67.93,67.9,0.0800000000000125,FLAT
Variable Speed Fuel Pump Desired Rail Pressure,kPa,24,153,58.0,58.0,58.0,0.0,58.0,58.0,0.0,FLAT
STARTER_CNTRL_AUTO_RESTART_CNTR,count,24,153,40448.0,40448.0,40448.0,0.0,40448.0,40448.0,0.0,FLAT
