pid,unit,n,na,min,max,mean,sd,first,last,range,flag
Mis-Fire Monitor Status,,0,14,,,,,,,,NO-DATA
Mis-Fire Counter-200 REV,,14,0,447.0,800.0,611.9285714285714,128.55763814931655,627.0,800.0,353.0,
Mis-Fire Counter CAT 200 Rev,,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 1 FTP Mis-Fire Counter,,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 2 FTP Mis-Fire Counter,,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 3 FTP Mis-Fire Counter,,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 4 FTP Mis-Fire Counter,,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 5 FTP Mis-Fire Counter,,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 6 FTP Mis-Fire Counter,,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 7 FTP Mis-Fire Counter,,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Cylinder 8 FTP Mis-Fire Counter,,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
SKIM VTA Invalid Key Received Fault Posted,,0,177,,,,,,,,NO-DATA
NGC Should Shut Off Fuel,,0,177,,,,,,,,NO-DATA
SKIM/VTA Has Completed,,0,177,,,,,,,,NO-DATA
IGN OFF RUN START SW,,0,177,,,,,,,,NO-DATA
IGN RUN START SW,,0,177,,,,,,,,NO-DATA
IGN START SW,,0,177,,,,,,,,NO-DATA
Ignition Start Switch Filtered Switch State,,0,177,,,,,,,,NO-DATA
MAP Vacuum,inHg,176,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Map Volts,V,176,1,4.39,4.4,4.390056818181818,0.0007516338951888549,4.39,4.39,0.010000000000000675,FLAT
Barometric Pressure,inHg,167,10,29.26,29.26,29.26,0.0,29.26,29.26,0.0,FLAT
APP 1 Volts,V,167,10,0.43,0.43,0.43,0.0,0.43,0.43,0.0,FLAT
APP 2 Volts,V,166,11,0.0,0.22,0.21626506024096384,0.024083731617231346,0.21,0.22,0.22,
TPS 1 Minimum Volts,V,165,12,0.51,0.51,0.51,0.0,0.51,0.51,0.0,FLAT
TPS 1 Volts,V,0,177,,,,,,,,NO-DATA
TPS 2 Minimum Volts,V,0,177,,,,,,,,NO-DATA
TPS 2 Volts,V,15,162,4.29,4.29,4.29,0.0,4.29,4.29,0.0,FLAT
Throttle Blade Position,%,124,53,4.09,8.58,8.035645161290322,1.4637062116727833,8.55,4.09,4.49,
ETC Directional Duty Cycle,%,124,53,-19.42,0.0,-2.3491935483870967,6.332663608774262,0.0,-19.42,19.42,
Engine Speed,rpm,944,54,0.0,3944.0,1060.165254237288,586.4453391635321,0.0,611.0,3944.0,
Target Idle Speed,rpm,124,53,624.0,1104.0,1045.9354838709678,156.52309640636693,1104.0,624.0,480.0,
Time From Start Run,ms,124,53,0.0,83.87,10.145564516129033,27.349150199170822,0.0,83.87,83.87,
Time Fuel System in Run Mode,ms,124,53,0.0,81.92,9.90967741935484,26.713275120019958,0.0,81.92,81.92,
Ignition Off Time,minutes,124,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Engine Runtime,ms,118,59,0.0,88.35,10.44194915254237,28.461618528320763,0.0,88.35,88.35,
Purge Duty Cycle,%,118,59,0.0,30.43,3.589915254237288,9.784680736307251,0.0,30.3,30.43,
Desired Purge Current,mA,118,59,0.0,192.47,22.79398305084746,62.12744008971726,0.0,192.47,192.47,
Actual Purge Current,mA,117,60,0.0,195.4,23.205555555555552,62.94685353526817,0.0,194.42,195.4,
Purge AirFlow,g/s,113,64,0.0,0.16,0.019823008849557525,0.052713657965270895,0.0,0.16,0.16,
Purge Mode,,0,177,,,,,,,,NO-DATA
Purge Vapor Ratio,,113,64,0.1,0.27,0.24911504424778763,0.055551260265033056,0.27,0.1,0.17,
Purge Adaptive,,113,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Actual Torque,Nm,112,65,-1.51,434.92,391.3688392857143,129.65652016375486,434.92,-1.51,436.43,
ETC Starter Inhibit,mile,112,65,315351.04,315351.04,315351.04,0.0,315351.04,315351.04,0.0,FLAT
Injector Pulse Width Cylinder 1,us,932,66,0.0,10832.0,2761.0557939914165,2408.811047409714,0.0,2056.0,10832.0,
Injector Pulse Width Cylinder 2,us,931,67,0.0,10248.0,2677.3190118152525,2347.4430883205364,0.0,2000.0,10248.0,
Injector Pulse Width Cylinder 3,us,111,66,0.0,1840.0,150.63063063063063,456.0017371534781,0.0,1536.0,1840.0,
Injector Pulse Width Cylinder 4,us,111,66,0.0,1896.0,148.25225225225225,448.95756071566075,0.0,1472.0,1896.0,
Injector Pulse Width Cylinder 5,us,111,66,0.0,1608.0,132.03603603603602,420.25526193956284,0.0,1480.0,1608.0,
Injector Pulse Width Cylinder 6,us,5,172,1184.0,6760.0,2460.8,2152.613146851984,6760.0,1384.0,5576.0,
Injector Pulse Width Cylinder 7,us,826,172,0.0,10992.0,2916.319612590799,2189.6489606718424,1416.0,1952.0,10992.0,
Injector Pulse Width Cylinder 8,us,826,172,0.0,10800.0,3009.782082324455,2283.5009018997075,1424.0,2056.0,10800.0,
Cranking Injector Pulse Width,us,6,171,7064.0,7064.0,7064.0,0.0,7064.0,7064.0,0.0,FLAT
1/1 O2 Sensor Level,,0,177,,,,,,,,NO-DATA
2/1 O2 Sensor Level,,0,177,,,,,,,,NO-DATA
1/1 O2 Goal(0-1),V,6,171,0.67,0.67,0.67,0.0,0.67,0.67,0.0,FLAT
2/1 O2 Goal(0-1),V,110,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
1/1 O2 Volts(0-1),V,110,67,0.96,0.96,0.96,0.0,0.96,0.96,0.0,FLAT
1/1 O2 Sensor Volts,V,110,67,3.47,3.47,3.47,0.0,3.47,3.47,0.0,FLAT
1/2 O2 Volts(0-1),V,110,67,0.82,0.82,0.82,0.0,0.82,0.82,0.0,FLAT
1/2 O2 Sensor Volts,V,110,67,3.34,3.34,3.34,0.0,3.34,3.34,0.0,FLAT
2/1 O2 Volts(0-1),V,110,67,1.08,1.08,1.08,0.0,1.08,1.08,0.0,FLAT
2/1 O2 Sensor Volts,V,0,177,,,,,,,,NO-DATA
2/2 O2 Volts(0-1),V,0,177,,,,,,,,NO-DATA
2/2 O2 Sensor Volts,V,0,177,,,,,,,,NO-DATA
1/1 O2 Fuel Feedback,,0,177,,,,,,,,NO-DATA
2/1 O2 Fuel Feedback,,0,177,,,,,,,,NO-DATA
1/1 Pulse Width O2 Heater,%,109,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
1/2 Pulse Width O2 Heater,%,109,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
2/1 Pulse Width O2 Heater,%,109,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
2/2 Pulse Width O2 Heater,%,109,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
1/1 O2 Heater Temp,deg C,108,69,1122.8,1122.8,1122.8,0.0,1122.8,1122.8,0.0,FLAT
1/2 O2 Heater Temp,deg C,108,69,1086.8,1086.8,1086.8,0.0,1086.8,1086.8,0.0,FLAT
2/1 O2 Heater Temp,deg C,0,177,,,,,,,,NO-DATA
2/2 O2 Heater Temp,deg C,0,177,,,,,,,,NO-DATA
1/1 Short Term ADAP,%,0,177,,,,,,,,NO-DATA
2/1 Short Term ADAP,%,0,177,,,,,,,,NO-DATA
1/1 Long Term ADAP,%,107,70,8.2,8.2,8.2,0.0,8.2,8.2,0.0,FLAT
2/1 Long Term ADAP,%,107,70,8.79,8.79,8.79,0.0,8.79,8.79,0.0,FLAT
Closed Loop Timer,ms,107,70,10.24,10.24,10.24,0.0,10.24,10.24,0.0,FLAT
Current ADAP Cell ID,,107,70,24.0,24.0,24.0,0.0,24.0,24.0,0.0,FLAT
Engine Coolant Temp,deg C,107,70,203.0,203.0,203.0,0.0,203.0,203.0,0.0,FLAT
Engine Coolant Temp Volt,V,107,70,0.85,0.85,0.85,0.0,0.85,0.85,0.0,FLAT
Intake Air Temp,deg C,105,72,120.2,120.2,120.2,0.0,120.2,120.2,0.0,FLAT
Intake Air Temp Volt,V,105,72,2.42,2.42,2.42,0.0,2.42,2.42,0.0,FLAT
Ambient Temp,deg C,105,72,71.6,71.6,71.6,0.0,71.6,71.6,0.0,FLAT
Ambient Temp Voltage,V,105,72,2.63,2.63,2.63,0.0,2.63,2.63,0.0,FLAT
Fuel Level Percent,%,105,72,9.0,9.0,9.0,0.0,9.0,9.0,0.0,FLAT
Fuel Tank Vapor Volume,gal,105,72,26.88,26.88,26.880000000000003,0.0,26.88,26.88,0.0,FLAT
Fuel Tank Size,gal,104,73,26.0,26.0,26.0,0.0,26.0,26.0,0.0,FLAT
Fuel Level Sensor/#1 Volts,V,104,73,3.8,3.8,3.8,0.0,3.8,3.8,0.0,FLAT
CAT Modeled Temp,deg C,104,73,1322.6,1322.6,1322.6,0.0,1322.6,1322.6,0.0,FLAT
Oil Pressure,kPa,104,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
VVT Oil Pressure,kPa,104,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Engine Oil Temperature,deg C,102,75,188.6,190.4,188.61764705882354,0.17735074625507566,190.4,188.6,1.8000000000000114,FLAT
Oil Pressure Sensor Voltage,V,102,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Voltage Sense,V,102,75,12.27,12.27,12.27,0.0,12.27,12.27,0.0,FLAT
VVT Oil Temp,deg C,102,75,188.6,190.4,188.61764705882354,0.17735074625507566,190.4,188.6,1.8000000000000114,FLAT
Target Charging Voltage,V,100,77,13.77,13.77,13.77,0.0,13.77,13.77,0.0,FLAT
Generator Duty Cycle,%DC,100,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
Mass Airflow,g/s,920,78,1.96,176.21,19.981217391304348,22.484324477591283,2.89,6.94,174.25,
Knock Sensor 1 Volts,V,920,78,0.0,3.64,0.32040217391304343,0.21251943950892385,0.0,0.23,3.64,
Knock Sensor 2 Volts,V,920,78,0.0,4.3,0.34782608695652173,0.3109680749969308,0.0,0.23,4.3,
ST Knock Retard,Degree,98,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLAT
